Layer,계약연도,시도,시군구,지방세,세외수입,기타,계약여부,미체결
A,2026,강원도,강원도특별자치도,0,0,0,0,1
A,2026,경기도,경기도,0,0,0,0,1
A,2026,경상남도,경상남도,0,0,0,0,1
A,2026,경상북도,경상북도,0,0,0,0,1
A,2026,광주광역시,광주광역시,1,1,0,1,0
A,2026,대구광역시,대구광역시,1,0,0,1,0
A,2026,대전광역시,대전광역시,1,1,1,1,0
A,2026,서울특별시,서울특별시,1,1,0,1,0
A,2026,세종특별자치시,세종특별자치시,1,1,0,1,0
A,2026,울산광역시,울산광역시,0,1,0,1,0
A,2026,인천광역시,인천광역시,1,1,0,1,0
A,2026,전라남도,전라남도,0,0,0,0,1
A,2026,전라북도,전북특별자치도,0,1,0,1,0
A,2026,제주특별자치도,제주특별자치도,1,1,0,1,0
A,2026,충청북도,충청북도,0,1,0,1,0
A,2026,부산광역시,부산광역시,0,0,0,0,1
A,2026,충청남도,충청남도,0,0,0,0,1
B,2026,강원도,강릉시,0,0,0,0,1
B,2026,강원도,고성군,0,0,0,0,1
B,2026,강원도,동해시,1,1,0,1,0
B,2026,강원도,삼척시,1,0,0,1,0
B,2026,강원도,속초시,1,0,0,1,0
B,2026,강원도,양구군,0,0,0,0,1
B,2026,강원도,양양군,1,0,0,1,0
B,2026,강원도,영월군,0,0,0,0,1
B,2026,강원도,원주시,0,1,0,1,0
B,2026,강원도,인제군,1,0,0,1,0
B,2026,강원도,정선군,0,0,0,0,1
B,2026,강원도,철원군,0,0,0,0,1
B,2026,강원도,춘천시,1,0,0,1,0
B,2026,강원도,태백시,1,0,0,1,0
B,2026,강원도,평창군,0,0,0,0,1
B,2026,강원도,홍천군,0,0,0,0,1
B,2026,강원도,화천군,0,0,0,0,1
B,2026,강원도,횡성군,1,0,0,1,0
B,2026,경기도,가평군,1,1,0,1,0
B,2026,경기도,고양시,1,1,0,1,0
B,2026,경기도,과천시,1,1,0,1,0
B,2026,경기도,광명시,1,1,0,1,0
B,2026,경기도,광주시,1,1,0,1,0
B,2026,경기도,구리시,1,1,0,1,0
B,2026,경기도,군포시,1,1,0,1,0
B,2026,경기도,김포시,1,1,1,1,0
B,2026,경기도,남양주시,1,1,0,1,0
B,2026,경기도,동두천시,1,1,0,1,0
B,2026,경기도,부천시,1,1,0,1,0
B,2026,경기도,성남시,1,1,0,1,0
B,2026,경기도,수원시,1,1,0,1,0
B,2026,경기도,시흥시,1,1,1,1,0
B,2026,경기도,안산시,1,1,0,1,0
B,2026,경기도,안성시,1,1,0,1,0
B,2026,경기도,안양시,1,1,1,1,0
B,2026,경기도,양주시,1,1,1,1,0
B,2026,경기도,양평군,1,1,0,1,0
B,2026,경기도,여주시,1,1,0,1,0
B,2026,경기도,연천군,0,0,0,0,1
B,2026,경기도,오산시,0,0,0,0,1
B,2026,경기도,용인시,1,1,1,1,0
B,2026,경기도,의왕시,1,1,1,1,0
B,2026,경기도,의정부시,1,1,0,1,0
B,2026,경기도,이천시,1,1,0,1,0
B,2026,경기도,파주시,1,0,0,1,0
B,2026,경기도,평택시,1,1,1,1,0
B,2026,경기도,포천시,1,1,0,1,0
B,2026,경기도,하남시,1,1,0,1,0
B,2026,경기도,화성시,1,1,0,1,0
B,2026,경상남도,거제시,1,1,0,1,0
B,2026,경상남도,거창군,1,1,0,1,0
B,2026,경상남도,고성군,0,0,0,0,1
B,2026,경상남도,김해시,1,1,0,1,0
B,2026,경상남도,남해군,1,1,0,1,0
B,2026,경상남도,밀양시,1,1,0,1,0
B,2026,경상남도,사천시,1,0,0,1,0
B,2026,경상남도,산청군,1,1,0,1,0
B,2026,경상남도,양산시,1,1,0,1,0
B,2026,경상남도,의령군,1,0,0,1,0
B,2026,경상남도,진주시,1,1,0,1,0
B,2026,경상남도,창녕군,1,0,0,1,0
B,2026,경상남도,창원시,1,1,1,1,0
B,2026,경상남도,통영시,0,0,0,0,1
B,2026,경상남도,하동군,1,0,0,1,0
B,2026,경상남도,함안군,1,0,1,1,0
B,2026,경상남도,함양군,0,0,0,0,1
B,2026,경상남도,합천군,1,0,0,1,0
B,2026,경상북도,경산시,1,1,0,1,0
B,2026,경상북도,경주시,1,1,0,1,0
B,2026,경상북도,고령군,1,0,0,1,0
B,2026,경상북도,구미시,0,0,0,0,1
B,2026,경상북도,김천시,1,0,0,1,0
B,2026,경상북도,문경시,0,0,0,0,1
B,2026,경상북도,봉화군,0,0,0,0,1
B,2026,경상북도,상주시,1,1,0,1,0
B,2026,경상북도,성주군,1,0,0,1,0
B,2026,경상북도,안동시,0,0,0,0,1
B,2026,경상북도,영덕군,0,0,0,0,1
B,2026,경상북도,영양군,0,0,0,0,1
B,2026,경상북도,영주시,1,0,0,1,0
B,2026,경상북도,영천시,1,0,0,1,0
B,2026,경상북도,예천군,0,0,0,0,1
B,2026,경상북도,울릉군,0,0,0,0,1
B,2026,경상북도,울진군,1,0,0,1,0
B,2026,경상북도,의성군,1,0,0,1,0
B,2026,경상북도,청도군,0,0,0,0,1
B,2026,경상북도,청송군,0,0,0,0,1
B,2026,경상북도,칠곡군,0,1,0,1,0
B,2026,경상북도,포항시,1,1,0,1,0
B,2026,광주광역시,광산구,1,0,0,1,0
B,2026,광주광역시,남구,1,0,0,1,0
B,2026,광주광역시,동구,1,1,0,1,0
B,2026,광주광역시,북구,1,1,0,1,0
B,2026,광주광역시,서구,1,1,0,1,0
B,2026,대구광역시,군위구,0,0,0,0,1
B,2026,대구광역시,남구,1,0,0,1,0
B,2026,대구광역시,달서구,1,0,0,1,0
B,2026,대구광역시,달성군,1,1,0,1,0
B,2026,대구광역시,동구,1,1,0,1,0
B,2026,대구광역시,북구,1,1,0,1,0
B,2026,대구광역시,서구,1,1,0,1,0
B,2026,대구광역시,수성구,0,1,0,1,0
B,2026,대구광역시,중구,0,0,0,0,1
B,2026,대전광역시,대덕구,1,1,0,1,0
B,2026,대전광역시,동구,1,1,0,1,0
B,2026,대전광역시,서구,1,1,0,1,0
B,2026,대전광역시,유성구,1,1,0,1,0
B,2026,대전광역시,중구,0,0,0,0,1
B,2026,부산광역시,강서구,0,1,0,1,0
B,2026,부산광역시,기장군,1,1,0,1,0
B,2026,부산광역시,남구,1,0,0,1,0
B,2026,부산광역시,동구,1,1,0,1,0
B,2026,부산광역시,동래구,1,0,0,1,0
B,2026,부산광역시,부산진구,0,0,0,0,1
B,2026,부산광역시,북구,1,1,0,1,0
B,2026,부산광역시,사상구,0,0,0,0,1
B,2026,부산광역시,사하구,0,1,0,1,0
B,2026,부산광역시,서구,1,1,0,1,0
B,2026,부산광역시,수영구,0,0,0,0,1
B,2026,부산광역시,연제구,0,0,0,0,1
B,2026,부산광역시,영도구,0,1,0,1,0
B,2026,부산광역시,중구,0,0,0,0,1
B,2026,부산광역시,해운대구,0,0,0,0,1
B,2026,서울특별시,강남구,1,1,0,1,0
B,2026,서울특별시,강동구,1,1,0,1,0
B,2026,서울특별시,강북구,1,1,0,1,0
B,2026,서울특별시,강서구,0,1,0,1,0
B,2026,서울특별시,관악구,1,1,0,1,0
B,2026,서울특별시,광진구,1,1,0,1,0
B,2026,서울특별시,구로구,1,1,0,1,0
B,2026,서울특별시,금천구,1,0,0,1,0
B,2026,서울특별시,노원구,1,0,0,1,0
B,2026,서울특별시,도봉구,1,1,0,1,0
B,2026,서울특별시,동대문구,1,0,0,1,0
B,2026,서울특별시,동작구,1,0,0,1,0
B,2026,서울특별시,마포구,1,0,0,1,0
B,2026,서울특별시,서대문구,1,0,0,1,0
B,2026,서울특별시,서초구,1,1,0,1,0
B,2026,서울특별시,성동구,0,1,0,1,0
B,2026,서울특별시,성북구,1,1,0,1,0
B,2026,서울특별시,송파구,1,0,0,1,0
B,2026,서울특별시,양천구,1,1,0,1,0
B,2026,서울특별시,영등포구,1,1,0,1,0
B,2026,서울특별시,용산구,2,0,0,1,0
B,2026,서울특별시,은평구,1,1,0,1,0
B,2026,서울특별시,종로구,1,1,0,1,0
B,2026,서울특별시,중구,0,0,0,0,1
B,2026,서울특별시,중랑구,1,1,0,1,0
B,2026,울산광역시,남구,1,0,0,1,0
B,2026,울산광역시,동구,1,1,0,1,0
B,2026,울산광역시,북구,1,1,0,1,0
B,2026,울산광역시,울주군,0,1,0,1,0
B,2026,울산광역시,중구,0,0,0,0,1
B,2026,인천광역시,강화군,1,1,0,1,0
B,2026,인천광역시,계양구,1,1,0,1,0
B,2026,인천광역시,남동구,1,1,0,1,0
B,2026,인천광역시,동구,1,1,0,1,0
B,2026,인천광역시,미추홀구,1,1,0,1,0
B,2026,인천광역시,부평구,1,1,0,1,0
B,2026,인천광역시,서구,1,1,0,1,0
B,2026,인천광역시,연수구,0,1,0,1,0
B,2026,인천광역시,옹진군,0,1,0,1,0
B,2026,인천광역시,중구,0,0,0,0,1
B,2026,전라남도,강진군,0,0,0,0,1
B,2026,전라남도,고흥군,0,0,0,0,1
B,2026,전라남도,곡성군,1,0,0,1,0
B,2026,전라남도,광양시,0,1,0,1,0
B,2026,전라남도,구례군,1,1,0,1,0
B,2026,전라남도,나주시,1,1,0,1,0
B,2026,전라남도,담양군,0,0,0,0,1
B,2026,전라남도,목포시,1,0,0,1,0
B,2026,전라남도,무안군,1,0,0,1,0
B,2026,전라남도,보성군,1,1,0,1,0
B,2026,전라남도,순천시,1,1,0,1,0
B,2026,전라남도,신안군,0,0,0,0,1
B,2026,전라남도,여수시,1,0,0,1,0
B,2026,전라남도,영광군,1,1,0,1,0
B,2026,전라남도,영암군,0,0,0,0,1
B,2026,전라남도,완도군,0,0,0,0,1
B,2026,전라남도,장성군,1,1,0,1,0
B,2026,전라남도,장흥군,0,0,0,0,1
B,2026,전라남도,진도군,0,0,0,0,1
B,2026,전라남도,함평군,1,1,0,1,0
B,2026,전라남도,화순군,0,0,0,0,1
B,2026,전라북도,고창군,0,0,0,0,1
B,2026,전라북도,군산시,0,1,0,1,0
B,2026,전라북도,김제시,0,1,0,1,0
B,2026,전라북도,남원시,0,1,0,1,0
B,2026,전라북도,무주군,1,1,0,1,0
B,2026,전라북도,부안군,0,1,0,1,0
B,2026,전라북도,순창군,0,1,0,1,0
B,2026,전라북도,완주군,0,1,0,1,0
B,2026,전라북도,익산시,0,1,0,1,0
B,2026,전라북도,임실군,1,0,0,1,0
B,2026,전라북도,장수군,1,1,0,1,0
B,2026,전라북도,전주시,1,1,0,1,0
B,2026,전라북도,정읍시,1,1,0,1,0
B,2026,전라북도,진안군,0,0,0,0,1
B,2026,충청북도,괴산군,1,0,0,1,0
B,2026,충청북도,단양군,1,0,0,1,0
B,2026,충청북도,보은군,1,0,0,1,0
B,2026,충청북도,영동군,1,1,0,1,0
B,2026,충청북도,옥천군,0,1,0,1,0
B,2026,충청북도,음성군,0,1,0,1,0
B,2026,충청북도,제천시,1,1,0,1,0
B,2026,충청북도,증평군,1,1,0,1,0
B,2026,충청북도,진천군,0,0,0,0,1
B,2026,충청북도,충주시,1,1,0,1,0
B,2026,충청남도,계룡시,1,1,0,1,0
B,2026,충청남도,공주시,1,1,0,1,0
B,2026,충청남도,금산군,1,1,0,1,0
B,2026,충청남도,논산시,1,1,0,1,0
B,2026,충청남도,당진시,2,1,0,1,0
B,2026,충청남도,보령시,0,1,0,1,0
B,2026,충청남도,부여군,1,0,0,1,0
B,2026,충청남도,서산시,1,1,0,1,0
B,2026,충청남도,서천군,1,0,0,1,0
B,2026,충청남도,아산시,1,1,0,1,0
B,2026,충청남도,예산군,1,0,0,1,0
B,2026,충청남도,천안시,1,1,1,1,0
B,2026,충청남도,청양군,1,0,0,1,0
B,2026,충청남도,태안군,1,0,0,1,0
B,2026,충청남도,홍성군,0,1,0,1,0